Tool,Institution,Year,Task,Entity_Type_Standardized,Entity_Type_Original,NER_Training_Corpus,Normalization_Tool,ID_Output,URL,Notes
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Gene/Protein,Gene / Protein,"NLM-Gene, GNormPlus, BioRED",GNorm2,NCBI Gene ID (Entrez),https://www.ncbi.nlm.nih.gov/research/pubtator3/,AIONER backbone + specialized normalizers
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Disease,Disease,"NCBI Disease, BC5CDR, BioRED",TaggerOne,MeSH ID,https://www.ncbi.nlm.nih.gov/research/pubtator3/,
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Chemical/Drug,Chemical / Drug,"NLM-Chem, BC5CDR",NLM-Chem Tagger,MeSH CID,https://www.ncbi.nlm.nih.gov/research/pubtator3/,
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Variant/Mutation,Variant / Mutation,"tmVar3 corpus, BioRED",tmVar3,dbSNP rs ID / HGVS format,https://www.ncbi.nlm.nih.gov/research/pubtator3/,
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Species/Organism,Species / Organism,"Species-800, BioRED",GNorm2 (species module),NCBI TaxID,https://www.ncbi.nlm.nih.gov/research/pubtator3/,
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Cell line,Cell line,"BioID, BioRED",TaggerOne,Cellosaurus CVCL,https://www.ncbi.nlm.nih.gov/research/pubtator3/,
PubTator3,NCBI/NLM,2024,NER+NEN+RE,Relations,Relations (12 types),"BioRED, BC5CDR, ChemProt",BioREx (LinkBERT),Entity ID pairs,https://www.ncbi.nlm.nih.gov/research/pubtator3/,Best overall coverage + 12 relation types
BERN2,DMIS-Lab,2022,NER+NEN,Gene/Protein,Gene / Protein,BC2GM,BioSyn hybrid (rule-based + SapBERT),NCBI Gene ID,https://github.com/dmis-lab/BERN2,Web service down since 2023
BERN2,DMIS-Lab,2022,NER+NEN,Disease,Disease,NCBI Disease,BioSyn hybrid (rule-based + SapBERT),MeSH ID / OMIM,https://github.com/dmis-lab/BERN2,
BERN2,DMIS-Lab,2022,NER+NEN,Chemical/Drug,Drug / Chemical,BC4CHEMD,BioSyn hybrid (rule-based + SapBERT),MeSH CID / CHEBI,https://github.com/dmis-lab/BERN2,
BERN2,DMIS-Lab,2022,NER+NEN,Species/Organism,Species,Linnaeus,Rule-based dictionary,NCBI TaxID,https://github.com/dmis-lab/BERN2,
BERN2,DMIS-Lab,2022,NER+NEN,Variant/Mutation,Mutation / Variant,tmVar 2.0 corpus,"tmVar 2.0 (CRF, rule-based)",dbSNP rs ID,https://github.com/dmis-lab/BERN2,
BERN2,DMIS-Lab,2022,NER+NEN,Cell line,Cell line,JNLPBA,Cellosaurus dictionary,Cellosaurus CVCL,https://github.com/dmis-lab/BERN2,
BERN2,DMIS-Lab,2022,NER+NEN,Cell type,Cell type,JNLPBA,Cell Ontology dictionary,Cell Ontology CL:,https://github.com/dmis-lab/BERN2,Unique cell type class
